#{"t_start": 1596247982.1128078, "env_id": null}
r,l,t
1.597,387,15601.92655
0.697,286,15618.722573
26.161,1754,15734.062556
11.161,803,15783.757321
3.495,483,15816.396708
17.219,1702,15930.617563
9.165,799,15980.152985
8.266,703,16014.402992
8.205,762,16063.694267
33.031,1885,16193.754435
8.264,706,16242.296224
24.107,1814,16357.803958
5.532,449,16375.951632
17.759,1187,16458.910826
6.217,751,16507.883607
7.193,777,16557.401609
5.369,606,16590.967689
46.482,2407,16755.032499
12.504,1437,16838.586536
18.699,1246,16920.669595
14.189,774,16970.332325
11.312,659,17018.921356
17.571,1372,17102.478718
5.34,634,17151.646159
7.246,724,17186.473802
3.471,510,17219.559604
41.242,1679,17335.28433
16.968,989,17401.644872
8.37,605,17435.618938
8.135,830,17485.942157
9.869,1087,17567.248764
15.68,1267,17650.198109
21.371,1564,17750.282493
8.981,980,17817.208848
10.222,745,17866.754741
36.969,1945,17983.96952
17.273,1659,18098.301061
11.941,1017,18164.314865
9.219,749,18213.594265
4.327,646,18247.837401
57.036,3799,18494.986014
3.347,629,18529.308514
8.269,702,18578.711221
7.478,501,18611.421386
9.263,707,18660.324704
6.49,490,18693.211097
26.269,1658,18792.999436
30.813,2096,18925.439556
5.191,778,18975.168038
12.334,637,19023.631436
14.369,600,19057.284876
11.405,570,19090.923641
25.593,1344,19188.572853
5.434,544,19221.820607
6.172,795,19271.773337
12.248,720,19321.042662
15.088,873,19371.541356
16.222,742,19421.046053
16.734,1214,19503.246745
5.497,483,19535.810793
10.872,1084,19602.310449
6.236,734,19651.095394
11.157,809,19700.826859
54.993,2879,19882.819215
0.458,522,19915.710591
19.832,1117,19996.53478
54.813,4016,20246.70722
14.175,789,20296.712661
8.344,629,20345.232923
10.085,878,20395.32099
20.8,1150,20476.120962
47.954,2917,20657.725787
10.342,629,20706.026915
3.69,295,20722.815669
11.336,632,20756.745543
5.247,723,20805.704818
10.798,1149,20887.073896
8.453,520,20920.077425
9.44,533,20953.354242
8.509,463,20971.640464
3.675,309,21003.188321
3.508,469,21021.656264
7.424,550,21069.81364
14.002,952,21121.062963
5.387,589,21169.363072
8.309,663,21203.433251
6.976,985,21268.48649
1.356,620,21316.287491
16.67,1274,21384.011791
10.297,674,21432.447118
66.959,3868,21678.75916
3.444,535,21711.652955
24.489,2410,21874.791454
10.68,1267,21957.214957
7.396,579,21990.881044
33.267,1657,22091.524895
17.804,1144,22173.26339
7.168,797,22222.625145
11.193,771,22272.086748
15.942,1005,22337.384251
17.27,1656,22437.864867
3.442,536,22484.710777
4.595,388,22502.485146
12.329,640,22550.153704
19.62,1321,22633.363184
5.223,747,22682.515244
19.896,1055,22748.0679
41.223,2662,22912.014958
27.625,2281,23059.511189
11.073,890,23124.718302
31.532,2367,23273.558931
6.333,640,23307.316134
10.856,1101,23387.545906
4.232,739,23422.381259
10.251,718,23471.239198
5.259,713,23520.787071
7.435,541,23553.446755
29.857,2054,23687.242282
17.929,1992,23817.631445
3.612,371,23835.022935
18.737,1207,23916.552469
5.67,317,23933.436481
7.314,657,23981.524874
0.792,200,23997.32739
33.938,1966,24112.893371
46.616,2276,24261.29068
18.784,1161,24342.110955
14.836,1112,24407.681883
1.6,383,24439.277158
8.322,647,24473.161074
2.601,383,24504.733621
0.561,422,24522.590561
3.587,397,24554.641787
12.723,1224,24636.350374
17.859,1093,24702.668065
14.647,1298,24785.449118
11.147,818,24835.673193
8.937,1021,24901.842127
18.309,1624,25015.847764
17.994,964,25066.692755
17.174,791,25116.315147
24.538,2367,25279.366562
4.463,516,25311.918186
11.369,604,25345.479546
6.418,559,25378.444321
8.22,748,25427.752247
7.505,471,25460.03203
0.813,177,25475.721732
9.324,646,25509.544347
9.288,683,25557.857111
5.417,560,25591.002999
4.438,540,25624.145022
25.991,1925,25754.034712
7.426,551,25786.97221
10.15,817,25836.500115
10.319,1615,25935.661976
13.029,930,26001.232971
12.947,1973,26132.954679
9.271,697,26167.966852
0.686,294,26199.390058
13.068,892,26250.312613
12.958,995,26316.719727
5.241,727,26366.066604
8.296,674,26400.188807
17.554,1383,26496.762563
17.1,1820,26611.309515
23.492,1443,26694.325686
5.471,506,26726.684973
3.318,655,26774.474021
7.429,546,26807.323273
7.168,799,26856.516023
8.058,906,26921.213264
29.604,2297,27068.416891
9.13,835,27117.805999
43.699,3163,27315.925742
15.875,1074,27396.119517
9.121,842,27446.175764
3.35,620,27480.111882
6.561,418,27512.255004
13.633,1311,27594.593117
7.32,652,27643.119474
7.371,604,27676.701137
9.08,877,27732.975575
2.442,537,27786.737614
13.702,1247,27854.669601
12.563,1381,27951.081874
17.543,1397,28033.490417
8.391,585,28081.203058
19.384,1551,28179.896926
9.281,690,28214.410757
11.992,967,28279.667585
7.041,920,28344.699897
14.777,1173,28411.837295
9.414,561,28445.336605
12.234,734,28494.337869
7.229,1702,28608.682421
9.21,755,28657.826954
5.257,709,28706.136105
9.884,1072,28772.193644
12.668,1278,28853.904774
10.468,500,28886.464462
1.691,293,28903.128855
10.377,596,28936.79554
-1.367,353,28968.114129
3.273,697,29002.794269
5.335,637,29051.095337
6.16,803,29100.712135
40.633,3193,29299.737055
9.376,591,29347.796019
0.528,451,29380.295195
36.797,3065,29563.740289
3.986,890,29628.613809
20.714,2194,29776.809851
23.751,1191,29844.517325
30.897,2010,29977.224878
43.734,3130,30177.780742
16.427,1510,30277.541929
29.52,1412,30375.704096
14.395,575,30409.189589
20.813,1941,30540.16773
7.558,421,30558.043412
10.29,678,30606.799283
41.789,2108,30739.492627
28.342,1578,30839.749247
17.934,1018,30906.123141
17.494,1441,31006.492456
22.05,1865,31123.598768
1.8,190,31139.76792
6.115,848,31190.612019
25.233,1687,31305.746853
15.83,1121,31372.536644
3.746,242,31389.068188
13.185,777,31438.690924
10.418,554,31472.12141
24.574,1359,31569.386293
31.299,2587,31734.305394
13.849,1103,31801.000637
7.181,787,31850.826885
60.153,4646,32148.237805
15.168,795,32198.052644
17.047,912,32263.2303
20.791,1154,32330.264911
9.277,692,32379.625482
38.65,2248,32527.903535
2.413,563,32561.296508
10.268,697,32610.093464
15.097,861,32660.386221
15.947,1006,32726.045982
18.693,1250,32808.795823
2.418,557,32842.318657
9.228,738,32891.702224
8.381,592,32925.296466
2.466,514,32958.448058
17.03,1769,33073.937217
10.841,1110,33154.926599
-0.095,90,33155.683059
5.494,1108,33222.105576
2.491,482,33254.693086
0.137,761,33303.747652
-0.135,130,33318.909962
5.342,628,33352.416056
3.113,848,33402.044055
1.672,312,33433.096069
-0.623,515,33465.895902
1.745,238,33482.519294
14.896,1053,33548.41959
3.389,584,33582.159872
13.788,1157,33648.800466
15.019,940,33713.558672
30.357,1568,33812.546006
4.396,578,33860.432979
22.228,1698,33960.300137
12.492,481,33992.688413
12.745,1197,34073.930737
11.282,687,34108.575071
11.975,980,34173.777843
9.337,630,34221.525363
31.669,2229,34353.961565
16.434,1433,34451.635936
4.671,978,34516.896958
0.789,201,34532.828733
6.623,359,34550.554962
16.937,1015,34617.645438
3.51,469,34650.527168
13.224,741,34699.754107
8.08,882,34749.829115
16.222,1701,34863.983987
1.525,455,34897.031792
1.445,524,34930.086067
3.392,582,34963.484365
26.619,2279,35110.763728
21.6,1336,35193.259407
10.582,397,35225.403996
0.439,540,35258.500087
52.906,2954,35441.070206
4.328,645,35489.597583
9.099,862,35539.287191
10.131,828,35588.906108
19.288,674,35637.271457
21.946,1006,35705.46391
10.239,722,35763.247224
10.31,657,35800.639653
40.026,1875,35930.69199
4.779,208,35932.574021
22.874,1072,36014.232076
10.767,1180,36081.025625
11.246,718,36130.058605
18.814,1131,36196.542442
13.933,1019,36262.217335
5.43,547,36309.395989
